"y","class71","class81"
1759,"I","I"
553,"I","II"
141,"I","IIIN"
130,"I","IIIM"
22,"I","IV"
2,"I","V"
541,"II","I"
6901,"II","II"
861,"II","IIIN"
824,"II","IIIM"
367,"II","IV"
60,"II","V"
248,"IIIN","I"
1238,"IIIN","II"
2562,"IIIN","IIIN"
346,"IIIN","IIIM"
308,"IIIN","IV"
56,"IIIN","V"
293,"IIIM","I"
1409,"IIIM","II"
527,"IIIM","IIIN"
12054,"IIIM","IIIM"
1678,"IIIM","IV"
586,"IIIM","V"
132,"IV","I"
419,"IV","II"
461,"IV","IIIN"
1779,"IV","IIIM"
3565,"IV","IV"
461,"IV","V"
37,"V","I"
53,"V","II"
88,"V","IIIN"
582,"V","IIIM"
569,"V","IV"
813,"V","V"
