"psize","operator","resin"
36.2,"1","1"
36.3,"1","1"
35.3,"1","2"
35,"1","2"
30.8,"1","3"
30.6,"1","3"
29.8,"1","4"
29.6,"1","4"
32,"1","5"
31.7,"1","5"
30.7,"1","6"
29.7,"1","6"
33.4,"1","7"
32.4,"1","7"
37.1,"1","8"
36.5,"1","8"
35.8,"2","1"
35,"2","1"
35.6,"2","2"
35.1,"2","2"
30.4,"2","3"
28.9,"2","3"
30.2,"2","4"
29.9,"2","4"
31.1,"2","5"
31.7,"2","5"
30.9,"2","6"
30.4,"2","6"
32.9,"2","7"
32.1,"2","7"
36.7,"2","8"
36.2,"2","8"
36,"3","1"
34.6,"3","1"
33,"3","2"
33.7,"3","2"
31.3,"3","3"
27.1,"3","3"
30,"3","4"
27.3,"3","4"
28.7,"3","5"
29.9,"3","5"
30.8,"3","6"
28.7,"3","6"
35.5,"3","7"
30.1,"3","7"
32.6,"3","8"
33.7,"3","8"
