"y","cause","age","sex"
398,"drug","y","m"
121,"gas","y","m"
455,"hang","y","m"
155,"gun","y","m"
55,"jump","y","m"
124,"other","y","m"
399,"drug","m","m"
82,"gas","m","m"
797,"hang","m","m"
168,"gun","m","m"
51,"jump","m","m"
82,"other","m","m"
93,"drug","o","m"
6,"gas","o","m"
316,"hang","o","m"
33,"gun","o","m"
26,"jump","o","m"
14,"other","o","m"
259,"drug","y","f"
15,"gas","y","f"
95,"hang","y","f"
14,"gun","y","f"
40,"jump","y","f"
38,"other","y","f"
450,"drug","m","f"
13,"gas","m","f"
450,"hang","m","f"
26,"gun","m","f"
71,"jump","m","f"
60,"other","m","f"
154,"drug","o","f"
5,"gas","o","f"
185,"hang","o","f"
7,"gun","o","f"
38,"jump","o","f"
10,"other","o","f"
